accession_id,performance_date,act_name,act_description,source_file,poster_id,primary_category,all_categories,num_labels
178R12,"EASTER MONDAY, APRIL 3rd, 1893",LOUISIANA QUARTETTE,"Special Engagement and First Appearance in Birkenhead of the
In their Renowned and Beautiful Negro Ballads, Glees and Madrigals.
SEE THEIR IMITATION OF THE ROLLER SKATE DANCE.",NFA178R12-38.jpg,178R12.38,Imitation,"Imitation, Dance",2
178R12,"MONDAY, OCTOBER 10th, 1892",SAM TORR,"The Celebrated London Comic Vocalist, In his Latest Specialities and his Popular “ON THE BACK OF DADDY-OH!”",NFA178R12-30.jpg,178R12.30,Comedians,Comedians,1
178R12,"MONDAY, OCTOBER 10th, 1892",D'SEMINCOURT,A Wonderful Soprano Vocalist.,NFA178R12-30.jpg,178R12.30,Singing,Singing,1
178R12,"MONDAY, OCTOBER 10th, 1892",BELMONT,Comic Vocalist and Dancer.,NFA178R12-30.jpg,178R12.30,Comedians,"Comedians, Dance",2
178R12,"MONDAY, OCTOBER 10th, 1892",MINNIE GHENT,Speciality Song and Dance Artiste.,NFA178R12-30.jpg,178R12.30,Dance,Dance,1
178R12,"MONDAY, OCTOBER 10th, 1892",KAVANAGH,The Popular Star Comedian and Premier Mimic.,NFA178R12-30.jpg,178R12.30,Imitation,Imitation,1
178R12,"MONDAY, OCTOBER 10th, 1892",SISTERS LESLIE,Charming Vocalists and Dancers.,NFA178R12-30.jpg,178R12.30,Dance,Dance,1
178R12,"MONDAY, OCTOBER 10th, 1892",TEMPLES,In their Wonderful Musical Entertainment.,NFA178R12-30.jpg,178R12.30,Comedians,Comedians,1
178R12,"MONDAY, OCTOBER 10th, 1892",MULDOON,Irish Entertainer.,NFA178R12-30.jpg,178R12.30,Singing,"Singing, Animal trainers",2
178R12,"MONDAY, OCTOBER 10th, 1892",TOM BERRICK,The Most Amusing Ethiopian Delineator on the English Stage.,NFA178R12-30.jpg,178R12.30,Imitation,Imitation,1
178R12,"Monday, February 23, 1920",PETER PARISS,"Successful Peter, in Plaintive Character Comedy.",NFA178R12-259.jpg,178R12.259,Imitation,Imitation,1
178R12,"Monday, February 23, 1920",FOSTER KERSHAW,The Favorite Entertainer without a Piano.,NFA178R12-259.jpg,178R12.259,Musicians,"Musicians, Animal trainers",2
178R12,"Monday, February 23, 1920",TERRY TWINS,Duplicata Comedians.,NFA178R12-259.jpg,178R12.259,Comedians,"Comedians, Musicians",2
178R12,"Monday, February 23, 1920",RENEE,Novelty Instrumentalist.,NFA178R12-259.jpg,178R12.259,Stunt performers,"Stunt performers, Musicians",2
178R12,"Monday, February 23, 1920",EMERSON & GILBERT,"""Dago"" and his Black Friend.",NFA178R12-259.jpg,178R12.259,Acrobats,"Acrobats, Gymnasts",2
178R12,"Monday, February 23, 1920",DIANA DANE,Delightful Comedienne.,NFA178R12-259.jpg,178R12.259,Comedians,"Comedians, Magic",2
178R12,"Monday, February 23, 1920",HOWARD & WYNDHAM,In Up-to-date Songs and Novel Dances.,NFA178R12-259.jpg,178R12.259,Dance,"Dance, Singing",2
178R12,"Monday, February 23, 1920",ERNE and CHESTER,In Songs and Laughs.,NFA178R12-259.jpg,178R12.259,Singing,Singing,1
178R12,"MONDAY, JUNE 12th, 1893",CHARLES BIGNEL,THE DODGER UP-TO-DATE!,NFA178R12-43.jpg,178R12.43,Animal trainers,Animal trainers,1
178R12,"MONDAY, JUNE 12th, 1893",POWERFUL COMPANY,WILL APPEAR EACH EVENING.,NFA178R12-43.jpg,178R12.43,Comedians,Comedians,1
178R12,"Monday, June 2, 1913,",WILLETTE,"Return to his Native Town and the Scene of his Early Triumphs,",NFA178R12-211.jpg,178R12.211,Comedians,Comedians,1
178R12,"Monday, June 2, 1913,",WHITAKER VALAZZI,"THE WORLD RENOWNED JUGGLER, PEDIPULATOR AND AVIATOR.",NFA178R12-211.jpg,178R12.211,Jugglers,Jugglers,1
178R12,"Monday, June 2, 1913,",WHITAKER,"In a New Repertoire, ""SONGS ON SUNNY SUBJECTS,"" Assisted by Mr. F. WILBUR HILL",NFA178R12-211.jpg,178R12.211,Tightrope walking,"Tightrope walking, Acrobats",2
178R12,"Monday, June 2, 1913,",VALAZZI,"VALAZZI is the first British Music Hall Artiste to obtain a Pilot's Certificate (No. 433) for Monoplane Flying, as granted by the Royal Aero Club of the United Kingdom.",NFA178R12-211.jpg,178R12.211,Singing,"Singing, Musicians",2
178R12,"Monday, June 2, 1913,",CARR'S,JUVENILE AMERICAN RAGTIME OCTETTE,NFA178R12-211.jpg,178R12.211,Stunt performers,"Stunt performers, Comedians",2
178R12,"Monday, June 2, 1913,",CARR'S,In a Revelry of all the Newest Numbers in Ragtime.,NFA178R12-211.jpg,178R12.211,Acrobats,"Acrobats, Singing",2
178R12,"Monday, June 2, 1913,",STACEY AND WILLIAMS,In their Drawing-room Interlude.,NFA178R12-211.jpg,178R12.211,Dance,"Dance, Singing",2
178R12,"Monday, June 2, 1913,",BEATRICE ALLEN,Vocal Comedienne.,NFA178R12-211.jpg,178R12.211,Singing,"Singing, Comedians",2
178R12,"Monday, June 2, 1913,",BROWN'S ROYAL BIOSCOPE,Showing the Latest Novelties in Life-Motion Pictures.,NFA178R12-211.jpg,178R12.211,Motion pictures,"Motion pictures, Stunt performers",2
178R12,"Monday, June 2, 1913,",BELLA CHEVAUX,Pleasing Young Soprano Vocalist.,NFA178R12-211.jpg,178R12.211,Singing,Singing,1
178R12,"Monday, June 2, 1913,",SHIRLEY AND RANSOME,"In their latest Episode of Coster Life, ""The Seperation Order.""",NFA178R12-211.jpg,178R12.211,Comedians,Comedians,1
178R12,"Monday, June 2, 1913,",GEORGE D'ALBERT,THE POPULAR COMEDIAN.,NFA178R12-211.jpg,178R12.211,Comedians,Comedians,1
178R12,"MONDAY, DECEMBER 12th, 1892,",BASSETT,In all his Wonderful New Impersonations.,NFA178R12-35.jpg,178R12.35,Male impersonators,"Male impersonators, Imitation",2
178R12,"MONDAY, DECEMBER 12th, 1892,",RUTH GROSVENOR,Splendid Serio-Comic Vocalist and Dancer.,NFA178R12-35.jpg,178R12.35,Comedians,"Comedians, Dance",2
178R12,"MONDAY, DECEMBER 12th, 1892,",ASHFORD & GUINARD,Most Eccentric Character Delineators.,NFA178R12-35.jpg,178R12.35,Imitation,Imitation,1
178R12,"MONDAY, DECEMBER 12th, 1892,",OLDENE,American Serio-Comic Vocalist and Burlesque Actress.,NFA178R12-35.jpg,178R12.35,Comedians,"Comedians, Singing",2
178R12,"MONDAY, DECEMBER 12th, 1892,",MATTHEWS,The only Lady Acrobatic and Talking Clown in the Profession.,NFA178R12-35.jpg,178R12.35,Acrobats,"Acrobats, Comedians",2
178R12,"MONDAY, DECEMBER 12th, 1892,",AUSTIN LENTON,Vocal Comedian and Burlesque Actor.,NFA178R12-35.jpg,178R12.35,Singing,"Singing, Comedians",2
178R12,"MONDAY, DECEMBER 12th, 1892,",ALBERT,"(ROSE AND BLANCHE,) Duettists and Song and Dance Artistes.",NFA178R12-35.jpg,178R12.35,Dance,Dance,1
178R12,"MONDAY, DECEMBER 12th, 1892,",HAYWARD,Comic Vocalist and Descriptive Actor.,NFA178R12-35.jpg,178R12.35,Comedians,Comedians,1
178R12,"MONDAY, DECEMBER 12th, 1892,",LITTLE TONY,The Midget Comedian. See him in his latest Successes.,NFA178R12-35.jpg,178R12.35,Comedians,Comedians,1
178R12,"MONDAY, DECEMBER 12th, 1892,",CARLIN and PRICE,"Mimical Musical Mashers, Black and White Comedians, Eccentric Performers and Dancers.",NFA178R12-35.jpg,178R12.35,Imitation,"Imitation, Dance",2
178R12,"Monday, April 6, 1891",TWO MACS,MIKE & JOE,NFA178R12-18.jpg,178R12.18,Tightrope walking,Tightrope walking,1
178R12,"Monday, April 6, 1891",THE GREATEST IRISH COMEDIANS ON EARTH,Their First Engagement in Birkenhead since they appeared in conjunction with the Liverpool STAR Company.,NFA178R12-18.jpg,178R12.18,Singing,"Singing, Imitation",2
178R12,"Monday, April 6, 1891",PEGGY POND,The Fascinating Serio and Descriptive Vocalist.,NFA178R12-18.jpg,178R12.18,Singing,"Singing, Comedians",2
178R12,"Monday, April 6, 1891",SISTERS WESTON,"Instrumentalists, Duettists and Dancers.",NFA178R12-18.jpg,178R12.18,Musicians,"Musicians, Dance",2
178R12,"Monday, April 6, 1891",MR ALEX BLANE,The Popular Tyrolean Vocalist and Swiss Warbler.,NFA178R12-18.jpg,178R12.18,Singing,Singing,1
178R12,"Monday, April 6, 1891",MISS MAY MACCABE,Serio-Comic Vocalist.,NFA178R12-18.jpg,178R12.18,Comedians,"Comedians, Singing",2
178R12,"Monday, April 6, 1891",MR. T. E SPEARS,Military and Gomis Vocalist.,NFA178R12-18.jpg,178R12.18,Singing,"Singing, Musicians",2
178R12,"Monday, April 6, 1891",HIBBS' QUARTETTE,Enthusiastic Reception Nightly Greets,NFA178R12-18.jpg,178R12.18,Magic,"Magic, Comedians",2
178R12,"Monday, April 6, 1891",MISS ADA LUNDBERG,THE GREATEST. STAR LOW COMEDY ARTISTE IN THE WORLD.,NFA178R12-18.jpg,178R12.18,Comedians,Comedians,1
178R12,"MONDAY NEXT, APRIL 13,",THE GREAT MILLIS,From the London Pavilios.,NFA178R12-18.jpg,178R12.18,Comedians,"Comedians, Musicians",2
178R12,"Monday, July 21, 1913,",AUBREY FITZGERALD And FRANK HILL,"In a Screaming Farce, entitled ""GETTING THE BIRD!""",NFA178R12-215.jpg,178R12.215,Motion pictures,"Motion pictures, Acrobats",2
178R12,"Monday, July 21, 1913,",WAL LANGTRY,THE POPULAR COMEDIAN.,NFA178R12-215.jpg,178R12.215,Comedians,Comedians,1
178R12,"Monday, July 21, 1913,","RATHSKELLAR TRIO,","MITCHELL, WELLS & LEWIS.",NFA178R12-215.jpg,178R12.215,Comedians,"Comedians, Imitation",2
178R12,"Monday, July 21, 1913,",8 SEASIDE GIRLS,"Harmonizing Vocalists and Clever Dancers, in a Pretty and Original Scena, ""AT THE SEASIDE.""",NFA178R12-215.jpg,178R12.215,Dance,Dance,1
178R12,"Monday, July 21, 1913,",NITA CRYSTAL & SAVILLE GEOFFREY,"In ""EARLY CLOSING NIGHT.""",NFA178R12-215.jpg,178R12.215,Singing,"Singing, Dance",2
178R12,"Monday, July 21, 1913,",ROSE CAMBRY,Comedienne.,NFA178R12-215.jpg,178R12.215,Comedians,Comedians,1
178R12,"Monday, July 21, 1913,",SISTERS ALLEN,Dainty Duettists and Speciality Dancers.,NFA178R12-215.jpg,178R12.215,Dance,Dance,1
178R12,"Monday, July 21, 1913,",BROWN'S ROYAL BIOSCOPE,Showing the Latest Novelties in Life-Motion Pictures.,NFA178R12-215.jpg,178R12.215,Motion pictures,"Motion pictures, Stunt performers",2
178R12,"Monday, July 21, 1913,",ROBBINS and Co.,Introducing their Famous Bucking Bicycle.,NFA178R12-215.jpg,178R12.215,Stunt performers,Stunt performers,1
178R12,"Monday, March 10, 1913",JACK AND EVELYN,"IN THEIR LATEST VAUDEVILLE, “QUICK LUNCH,” Introducing a series of New Songs, Dances, and clever Topical allusions.",NFA178R12-207.jpg,178R12.207,Magic,"Magic, Dance",2
178R12,"Monday, March 10, 1913",LLOYD MORGAN,A Rapidly Rising Star.,NFA178R12-207.jpg,178R12.207,Acrobats,"Acrobats, Gymnasts",2
178R12,"Monday, March 10, 1913",MAYME REMINGTON,AND HER PICCANINNIES An American Novelty Act.,NFA178R12-207.jpg,178R12.207,Stunt performers,Stunt performers,1
178R12,"Monday, March 10, 1913",GUS HINDELL,Favorite Monologist.,NFA178R12-207.jpg,178R12.207,Musicians,"Musicians, Comedians",2
178R12,"Monday, March 10, 1913",TOM NEIL,"In Hits, Bumps, and other things.",NFA178R12-207.jpg,178R12.207,Singing,"Singing, Animal trainers",2
178R12,"Monday, March 10, 1913",GENE MORELLE,Comedy Tramp Musician.,NFA178R12-207.jpg,178R12.207,Comedians,Comedians,1
178R12,"Monday, March 10, 1913",STELLA STAHL,Comedienne. Return after a long absence of,NFA178R12-207.jpg,178R12.207,Comedians,Comedians,1
178R12,"Monday, March 10, 1913",BROWN'S ROYAL BIOSCOPE,Showing the Latest Novelties in Life-Motion Pictures.,NFA178R12-207.jpg,178R12.207,Motion pictures,"Motion pictures, Stunt performers",2
178R12,"Monday, March 10, 1913",JACK LORIMER,THE HIELAN' LADDIE.,NFA178R12-207.jpg,178R12.207,Tightrope walking,"Tightrope walking, Motion pictures",2
178R12,"Monday, March 10, 1913",ESTA STELLA,The Original MILITARY MAID.,NFA178R12-207.jpg,178R12.207,Acrobats,"Acrobats, Gymnasts",2
178R12,"Monday, Feb. 10, 1913,",RADFORD AND VALENTINE,THE JOLLY JUGGLING JESTERS.,NFA178R12-205.jpg,178R12.205,Jugglers,Jugglers,1
178R12,"Monday, Feb. 10, 1913,",MAGGIE BENSON,"THE ORIGINAL ""SERVANT GIRL,"" A Clever Comedienne, in a Series of New Songs and Burlesques.",NFA178R12-205.jpg,178R12.205,Comedians,Comedians,1
178R12,"Monday, Feb. 10, 1913,",MR. & MISS DEBREAN,THE INCOMPARABLE,NFA178R12-205.jpg,178R12.205,Singing,"Singing, Male impersonators",2
178R12,"Monday, Feb. 10, 1913,",HENRY HELME,"THE REMARKABLE JAPANESE ENTERTAINERS, The World's Premier Sciegraphists, Introducing THE MYSTERIOUS HEAD, with amazing effects.",NFA178R12-205.jpg,178R12.205,Singing,"Singing, Male impersonators",2
178R12,"Monday, Feb. 10, 1913,",HAIDEE DE RANCE,THE SINGER FROM THE FRENCH ALPS.,NFA178R12-205.jpg,178R12.205,Singing,Singing,1
178R12,"Monday, Feb. 10, 1913,",JOHNSON & BERT,The Phenomenal Young Violinist and Vocalist.,NFA178R12-205.jpg,178R12.205,Musicians,Musicians,1
178R12,"Monday, Feb. 10, 1913,",VICTOR TRAVERS,Knockabout Character Comedians.,NFA178R12-205.jpg,178R12.205,Comedians,"Comedians, Imitation",2
178R12,"Monday, Feb. 10, 1913,",J. W. RICKABY,"Eccentric Comedian,",NFA178R12-205.jpg,178R12.205,Comedians,"Comedians, Singing",2
178R12,"Monday, Feb. 10, 1913,",BROWN'S ROYAL BIOSCOPE,"THE POPULAR STAR BURLESQUE COMEDIAN,",NFA178R12-205.jpg,178R12.205,Comedians,Comedians,1
178R12,"Monday, Feb. 10, 1896",MANNONS,"(SIX IN NUMBER,) The Renowned Pantomimists, in their Mirth-provoking Sketches.",NFA178R12-103.jpg,178R12.103,Imitation,"Imitation, Singing",2
178R12,"Monday, Feb. 10, 1896",FILLIS,SOUTH AFRICAN DOGS! THE MOST WONDERFUL ACT EVER PERFORMED BY DOGS.,NFA178R12-103.jpg,178R12.103,Animal trainers,Animal trainers,1
178R12,"Monday, Feb. 10, 1896",VALROSE,"The Charming Serio-Comic Vocalist, in all her latest Successes. ""DANDINI"" IN THE ROTUNDA PANTOMIME.",NFA178R12-103.jpg,178R12.103,Comedians,"Comedians, Singing",2
178R12,"Monday, Feb. 10, 1896",CAIRNS,"Serio-Comedienne and Burlesque Actress. ""CINDERELLA"" IN THE ROTUNDA PANTOMIME.",NFA178R12-103.jpg,178R12.103,Comedians,"Comedians, Singing",2
178R12,"Monday, Feb. 10, 1896",BURNARD,"Comedian, Author and Descriptive Vocalist.",NFA178R12-103.jpg,178R12.103,Comedians,Comedians,1
178R12,"Monday, Feb. 10, 1896",FAUE,Wire Equilibrist and Expert Tumbler.,NFA178R12-103.jpg,178R12.103,Tightrope walking,"Tightrope walking, Acrobats",2
178R12,"Monday, Feb. 10, 1896",HARRY ZETTER,"Eccentric Comedian and Dancer, from the Empire, London.",NFA178R12-103.jpg,178R12.103,Dance,Dance,1
178R12,"Monday, Feb. 10, 1896",PURSSORD,"""THE ARTFUL CARD,"" the Greatest Necromancer and Patterer of the Day, assisted by",NFA178R12-103.jpg,178R12.103,Magic,Magic,1
178R12,"Monday, Feb. 10, 1896",MR. SYDNEY LEE,"In a Marvellous and Bewildering Exhibition of ""HUMAN TELEGRAPHY!"" The only Show of its kind on the Variety Stage.",NFA178R12-103.jpg,178R12.103,Comedians,"Comedians, Singing",2
178R12,"Monday, Feb. 10, 1896",TENNYSON & O'GORMAN,And a Powerful Company.,NFA178R12-103.jpg,178R12.103,Comedians,"Comedians, Singing",2
178R12,"Monday, Jan. 26, 1891",FRAZER AND ALLEN,"America's Recognised Comedians, In their New and Original Absurdity, entitled 'MIXTURES.'",NFA178R12-16.jpg,178R12.16,Comedians,"Comedians, Motion pictures",2
178R12,"Monday, Jan. 26, 1891",GLADYS LORNE,Sario-Comedienne.,NFA178R12-16.jpg,178R12.16,Comedians,"Comedians, Singing",2
178R12,"Monday, Jan. 26, 1891",3 STANNARDS AND MISS PATRICK,Four of the most Original Varisty Performers on the Boards.,NFA178R12-16.jpg,178R12.16,Animal trainers,Animal trainers,1
178R12,"Monday, Jan. 26, 1891",ARTHUR WEST,"The Greatest of all Extempore Vocalists. ""The Captain called the Mate, and the Mate said, Oh!""",NFA178R12-16.jpg,178R12.16,Singing,"Singing, Musicians",2
178R12,"Monday, Jan. 26, 1891",SISTERS FLEXMORE,"The London Favourites, Duettists and Dancers.",NFA178R12-16.jpg,178R12.16,Dance,Dance,1
178R12,"Monday, Jan. 26, 1891",VOLTYNES,In theis Classical and Comical Performance on the Triple Horizontal Bars.,NFA178R12-16.jpg,178R12.16,Acrobats,"Acrobats, Gymnasts",2
178R12,"Monday, Jan. 26, 1891",TED MILLINS,Comedian and Dancer.,NFA178R12-16.jpg,178R12.16,Dance,"Dance, Comedians",2
178R12,"Monday, Jan. 26, 1891",BRADY & JOHNSON,"Variety Entertaimers. Introduoing their olever Performing Dog, ROSE.",NFA178R12-16.jpg,178R12.16,Animal trainers,Animal trainers,1
178R12,"Monday, Jan. 26, 1891",DONALDSON BROS.,THE WORLD'S WONDERS.,NFA178R12-16.jpg,178R12.16,Magic,"Magic, Singing",2
178R12,"MONDAY, MAY 1st, 1893,",DALTREY,"Return of the Great Birkenhead Favourites, Messrs.",NFA178R12-41.jpg,178R12.41,Tightrope walking,"Tightrope walking, Acrobats",2
178R12,"MONDAY, MAY 1st, 1893,",HIGGINS,"Return of the Great Birkenhead Favourites, Messrs.",NFA178R12-41.jpg,178R12.41,Tightrope walking,"Tightrope walking, Acrobats",2
178R12,"MONDAY, MAY 1st, 1893,",SEAFORTH,And Miss SELINA,NFA178R12-41.jpg,178R12.41,Comedians,"Comedians, Singing",2
178R12,"MONDAY, MAY 1st, 1893,",JACK'S RETURN!,"In their Entirely New Production,",NFA178R12-41.jpg,178R12.41,Comedians,Comedians,1
178R12,"MONDAY, MAY 1st, 1893,",ANDERSON,"For Six Nights only, Miss CARRIE",NFA178R12-41.jpg,178R12.41,Magic,"Magic, Singing",2
178R12,"MONDAY, MAY 1st, 1893,",ST. JOHNS,"Burlesque Actress, Vocalist and Dancer.",NFA178R12-41.jpg,178R12.41,Comedians,"Comedians, Dance",2
178R12,"MONDAY, MAY 1st, 1893,",LENA DORRETT,"(GALE AND EDITH,) Vocalists, Hand Bell Players, Instrumentalists and Expert Dancers.",NFA178R12-41.jpg,178R12.41,Dance,"Dance, Musicians",2
178R12,"MONDAY, MAY 1st, 1893,",GRAHAM,"For One Week only, Miss Charming Burlesque Actress.",NFA178R12-41.jpg,178R12.41,Comedians,Comedians,1
178R12,"MONDAY, MAY 1st, 1893,",NELLIE LOVELL,"Engagement, for Six Nights only, of Mr. JAKE Most Extraordinary Facial and Burlesque Comedian.",NFA178R12-41.jpg,178R12.41,Comedians,Comedians,1
178R12,"MONDAY, MAY 1st, 1893,",GOULD,"For One Week only, Miss Leading Male Impersonator.",NFA178R12-41.jpg,178R12.41,Male impersonators,"Male impersonators, Imitation",2
178R12,"MONDAY, MAY 1st, 1893,",5-ARLOTTIS-5,"For Six Nights only, The Eccentric FRED A Vocalist you can hear.",NFA178R12-41.jpg,178R12.41,Singing,"Singing, Acrobats",2
178R12,"MONDAY, MAY 1st, 1893,",The Merry Menials.,"Expensive Engagement, for One Week only, of THE",NFA178R12-41.jpg,178R12.41,Gymnasts,Gymnasts,1
178R12,"Monday, Aug. 10, 1896",SPRY,And FLORRIE,NFA178R12-104.jpg,178R12.104,Comedians,"Comedians, Tightrope walking",2
178R12,"Monday, Aug. 10, 1896",AUSTIN,"The Premier Vaudeville Artistes, IN A COMEDY ACT THE ESSENCE OF REPLETENESS.",NFA178R12-104.jpg,178R12.104,Comedians,Comedians,1
178R12,"Monday, Aug. 10, 1896",MYRA MAY,The Pleasing Soprano Vocalist.,NFA178R12-104.jpg,178R12.104,Singing,Singing,1
178R12,"Monday, Aug. 10, 1896",HOWARD,In a Unique and Mysterious Second-Sight Performance,NFA178R12-104.jpg,178R12.104,Magic,"Magic, Animal trainers",2
178R12,"Monday, Aug. 10, 1896",BENNETT MARTELL,"Eccentric Knockabout Comedians, Vocalists and Dancers, introducing their New and Original Military Act and Song.",NFA178R12-104.jpg,178R12.104,Dance,"Dance, Comedians",2
178R12,"Monday, Aug. 10, 1896",KATE TOOLE,The Popular London Burlesque Actress.,NFA178R12-104.jpg,178R12.104,Comedians,"Comedians, Motion pictures",2
178R12,"Monday, Aug. 10, 1896",LITTLE TONY,Character Comedian.,NFA178R12-104.jpg,178R12.104,Imitation,Imitation,1
178R12,"Monday, Aug. 10, 1896",NORA GONNOR,Serio-Comic Vocalist and Dancer.,NFA178R12-104.jpg,178R12.104,Comedians,"Comedians, Singing",2
178R12,"Monday, Aug. 10, 1896",MAUD NEEDHAM,Serio and Ballad Vocalist.,NFA178R12-104.jpg,178R12.104,Singing,"Singing, Comedians",2
178R12,"Monday, Aug. 10, 1896",SEEL,"The Renowned Character Comedian, in all his Latest Successes.",NFA178R12-104.jpg,178R12.104,Imitation,Imitation,1
178R12,"MONDAY, APRIL 24th, 1893,",DEMPSEY,"The King of all Irish Comedy Entertainers. For this Week only, the par excellence of Comedy, MERRIE JENNIE",NFA178R12-40.jpg,178R12.40,Comedians,Comedians,1
178R12,"MONDAY, APRIL 24th, 1893,",LESLIE,"A Vocalist and Dancer unequalled. For Six Nights only, Mr. J. W.",NFA178R12-40.jpg,178R12.40,Dance,Dance,1
178R12,"MONDAY, APRIL 24th, 1893,",NIXON,A Comedian. A Vocalist. A Dancer. Important Engagement of Madame,NFA178R12-40.jpg,178R12.40,Dance,Dance,1
178R12,"MONDAY, APRIL 24th, 1893,",POLLINTA'S,WONDERFUL MANIKINS! Whose performance must be seen to be believed.,NFA178R12-40.jpg,178R12.40,Animal trainers,Animal trainers,1
178R12,"MONDAY, APRIL 24th, 1893,",SISTERS HILL,"Duettists, Vocalists and Dancers. Engagement of the CLIPPER BOYS,",NFA178R12-40.jpg,178R12.40,Dance,Dance,1
178R12,"MONDAY, APRIL 24th, 1893,",FINLEY AND RANKIN,"Black Original Yankee Specialities. Full of Fun, Novelty and Surprise. Another Speciality in Miss FLO",NFA178R12-40.jpg,178R12.40,Stunt performers,Stunt performers,1
178R12,"MONDAY, APRIL 24th, 1893,",VARLEY,A Charming Lady. A Descriptive Vocalist. A Good Dancer. Return after a long absence of PROFESSOR,NFA178R12-40.jpg,178R12.40,Dance,Dance,1
178R12,"MONDAY, APRIL 24th, 1893,",WOODHEAD,THE MUSICAL MARVEL! Who Performs upon 7 or 8 different Instruments at one time.,NFA178R12-40.jpg,178R12.40,Musicians,"Musicians, Animal trainers",2
178R12,"Monday, February 16, 1920",ERNIE MAYNE,The Simple One.,NFA178R12-258.jpg,178R12.258,Male impersonators,"Male impersonators, Comedians",2
178R12,"Monday, February 16, 1920",NORMAN FIELD,"And his Harp, Assisted by MD'LLE NINALTA, Premiere Danseuse, In a Charming Fantasy, ""The Harpist's Dream""",NFA178R12-258.jpg,178R12.258,Dance,Dance,1
178R12,"Monday, February 16, 1920",THE FOUR K-FOLEYS,The Original Entertainers,NFA178R12-258.jpg,178R12.258,Male impersonators,"Male impersonators, Singing",2
178R12,"Monday, February 16, 1920",GEORGE BOLTON,In a Novel Vocal Comedy Scena.,NFA178R12-258.jpg,178R12.258,Singing,"Singing, Comedians",2
178R12,"Monday, February 16, 1920",TWO NONDESCRIPTS,"Entertainer, with his Veices and Piano.",NFA178R12-258.jpg,178R12.258,Musicians,"Musicians, Animal trainers",2
178R12,"Monday, February 16, 1920",MAY KINAHAN,"And a PIANO, is Types of Typical Talent,",NFA178R12-258.jpg,178R12.258,Singing,"Singing, Male impersonators",2
178R12,"Monday, February 16, 1920",Brown's BIOSCOPE,Juvenile Entertainer,NFA178R12-258.jpg,178R12.258,Singing,"Singing, Animal trainers",2
178R12,"Monday, February 16, 1920",MISS MERLES' COCKATOOS,Showing a Series of Navel nad interesting Pictures.,NFA178R12-258.jpg,178R12.258,Motion pictures,Motion pictures,1
178R12,"Monday, February 16, 1920",Royal,A Beautiful Novelty.,NFA178R12-258.jpg,178R12.258,Stunt performers,Stunt performers,1
178R12,"MONDAY, MARCH 20th, 1893",HARRISON,"Heroes of Hibernian Comedy. See their Laughable Act, ""MURPHY'S DANCING CONTEST.""",NFA178R12-37.jpg,178R12.37,Comedians,"Comedians, Tightrope walking",2
178R12,"MONDAY, MARCH 20th, 1893",ARCHIE RICHARDS,Serio-Comic and Descriptive Vocalist.,NFA178R12-37.jpg,178R12.37,Comedians,"Comedians, Singing",2
178R12,"MONDAY, MARCH 20th, 1893",EMSLEY,American Comedian and Musical Expert.,NFA178R12-37.jpg,178R12.37,Musicians,Musicians,1
